,ave,std,max,min
0,4.8841133333333335,5.101106130606765,104.0,-98.0
1,4.725766666666667,6.588823781946801,181.0,-154.0
2,4.906393333333333,6.967397033524431,140.0,-106.0
3,4.90224,6.922305187180113,197.0,-199.0
4,4.90872,7.301110189758817,145.0,-126.0
5,4.913513333333333,5.434111112860393,142.0,-144.0
6,4.85566,5.687823395051908,120.0,-78.0
7,4.505426666666667,5.854511569720713,139.0,-134.0
8,4.717833333333333,7.789643113079984,168.0,-156.0
9,4.73096,6.890459152667711,152.0,-126.0
10,4.582873333333334,6.157271968218513,245.0,-115.0
11,4.329933333333333,15.25400019314174,410.0,-478.0
12,4.46404,8.660501538997575,224.0,-169.0
13,4.680813333333333,6.033346435736719,139.0,-129.0
14,4.59672,5.402046506245854,98.0,-125.0
15,4.597953333333333,6.328509472593304,126.0,-117.0
16,4.513486666666667,6.48017217317808,145.0,-162.0
17,4.47524,5.998118604355198,101.0,-120.0
18,4.530326666666666,6.831583864439944,120.0,-117.0
19,4.491646666666667,7.298202882462982,140.0,-189.0
20,4.419053333333333,7.6895072551692865,146.0,-123.0
21,4.6559333333333335,8.202354132786779,229.0,-251.0
22,4.5256,13.678314904085374,313.0,-595.0
23,4.489566666666667,5.666801440243516,108.0,-63.0
24,4.39766,5.305996062477629,84.0,-86.0
25,4.519193333333333,6.623072100607785,115.0,-102.0
26,4.699046666666667,6.419386404839197,131.0,-106.0
27,4.392853333333333,5.813616050219182,118.0,-104.0
28,4.616466666666667,6.748137947957248,194.0,-172.0
29,4.463166666666667,137.50453456747914,3252.0,-4621.0
30,4.374333333333333,8.986164155515063,159.0,-142.0
31,4.343853333333334,7.1896093650286526,220.0,-247.0
32,4.32278,3.802861573864389,60.0,-55.0
33,4.42402,3.1687453846249753,54.0,-38.0
34,4.325586666666666,3.686847425843453,72.0,-57.0
35,4.2394066666666665,3.2145440324527828,49.0,-32.0
36,4.409253333333333,3.045098825982712,38.0,-37.0
37,4.353913333333334,3.7927063226624713,119.0,-87.0
38,4.242466666666667,4.685086578616295,152.0,-121.0
39,4.298573333333334,4.270897122975116,100.0,-94.0
40,4.306406666666667,3.614479499324335,133.0,-113.0
41,4.1965,3.265716692555674,56.0,-39.0
42,4.3839733333333335,4.222792523019197,139.0,-102.0
43,4.346053333333334,3.7894462422858535,76.0,-67.0
44,4.202306666666667,3.878480668600038,73.0,-83.0
45,4.444753333333333,3.3981737433099,64.0,-44.0
46,4.363906666666667,3.429753687855434,60.0,-44.0
47,4.407626666666666,3.4426578172357662,101.0,-79.0
48,4.535966666666667,3.863213588238478,136.0,-154.0
49,4.5526333333333335,3.07159664728221,42.0,-38.0
50,4.820373333333333,4.084310485002719,103.0,-104.0
51,4.720506666666667,4.835357209950251,170.0,-99.0
52,4.419993333333333,3.896672960405662,111.0,-76.0
53,4.4605266666666665,3.625360139930448,75.0,-86.0
54,4.366393333333333,3.636204624584454,97.0,-79.0
55,4.570053333333333,4.23012669120375,125.0,-110.0
56,4.427033333333333,3.4468219762703822,72.0,-67.0
57,4.491766666666667,3.592359240460458,71.0,-61.0
58,4.381153333333334,3.0572827450217033,41.0,-32.0
59,4.3475866666666665,4.257974210598048,214.0,-134.0
60,4.2992,3.46021182113258,59.0,-42.0
61,4.4214,4.652389314983817,123.0,-123.0
62,4.3866933333333336,3.8456131098812008,77.0,-86.0
63,4.49064,4.4867367424195175,197.0,-84.0
64,4.460773333333333,3.5834471591721804,52.0,-41.0
65,4.47196,4.127655590687992,124.0,-120.0
66,4.599193333333333,4.121177086297806,95.0,-106.0
67,4.689713333333334,3.5172770707952723,59.0,-51.0
68,4.7508,3.620154701593164,87.0,-78.0
69,4.747633333333333,3.3123653498142827,60.0,-50.0
70,4.5100066666666665,3.5262741570509077,50.0,-38.0
71,4.62506,4.069170724369921,57.0,-64.0
72,4.508546666666667,3.678409596433847,76.0,-54.0
73,4.451066666666667,3.3828866108252926,56.0,-46.0
74,4.385066666666667,3.76125218187712,90.0,-76.0
75,4.488026666666666,3.749055482216236,127.0,-112.0
76,4.914666666666666,4.194387779102113,124.0,-99.0
77,4.7234066666666665,3.3715523492486135,61.0,-75.0
78,4.77684,4.803194085073958,123.0,-154.0
79,4.65608,4.822138604437331,157.0,-134.0
80,4.71956,4.249273716206975,150.0,-114.0
81,4.830546666666667,5.0675349136001255,136.0,-120.0
82,4.769446666666667,4.633399934150791,98.0,-79.0
83,4.649593333333334,3.456928526450583,49.0,-39.0
84,4.566273333333333,5.922329637781443,152.0,-143.0
85,4.527486666666666,4.705829588432804,185.0,-120.0
86,4.65828,6.007856084924548,273.0,-237.0
87,4.39316,4.491991362522417,119.0,-128.0
88,4.498413333333334,4.9323057150538965,208.0,-126.0
89,4.61008,4.272139674852561,110.0,-95.0
90,4.515593333333333,3.9900655364845985,53.0,-49.0
91,4.518706666666667,3.6295919725052848,53.0,-54.0
92,4.726553333333333,4.16504212515651,93.0,-70.0
93,4.70878,4.016532309735016,93.0,-96.0
94,4.573633333333333,5.787402534160684,199.0,-224.0
95,4.667866666666667,4.51369877211579,74.0,-62.0
96,4.422046666666667,4.432962999194621,120.0,-85.0
97,4.511126666666667,5.623653056550243,144.0,-124.0
98,4.504966666666666,4.932330502387634,142.0,-129.0
99,4.7568,3.5983394429901017,55.0,-46.0
100,4.649346666666666,4.661988181099801,111.0,-101.0
101,4.69552,6.744297974336131,215.0,-200.0
102,4.645726666666667,4.879860909107844,92.0,-88.0
103,4.687586666666666,5.94964597527201,148.0,-185.0
104,4.78776,4.75199165879229,188.0,-101.0
105,4.8556333333333335,4.188898253480591,95.0,-77.0
106,4.61018,4.81726911657199,131.0,-117.0
107,4.693046666666667,4.320330707195731,85.0,-74.0
108,4.7121466666666665,3.975888057159202,75.0,-49.0
109,4.7607333333333335,4.546788898129182,111.0,-75.0
110,4.806353333333333,4.611926145069325,105.0,-108.0
111,4.276273333333333,4.474101752962881,99.0,-99.0
112,4.30676,4.017212037680324,78.0,-53.0
113,4.275173333333333,5.289429662739005,76.0,-134.0
114,4.32504,5.49765924372495,249.0,-159.0
115,4.1326133333333335,5.1818934168845505,140.0,-151.0
116,4.31842,5.009783364224682,158.0,-112.0
117,4.327606666666667,4.358511272911008,98.0,-61.0
118,4.356093333333333,3.8856477185934106,54.0,-43.0
119,4.344013333333334,5.1837470972307935,146.0,-121.0
120,4.419273333333333,4.511204445052251,113.0,-92.0
121,4.419106666666667,4.753940849615846,176.0,-98.0
122,4.32388,6.395829979229239,159.0,-197.0
123,4.4908,6.225630925178276,230.0,-276.0
124,4.664573333333333,5.9423343639970465,148.0,-142.0
125,4.5996,5.865719837990456,188.0,-202.0
126,4.52432,5.4663584232493765,154.0,-108.0
127,4.565926666666667,5.704616022039984,143.0,-91.0
128,4.4199866666666665,4.857164654419842,93.0,-89.0
