,ave,std,max,min,mad,kurt,skew,median,q01,q05,q95,q99,abs_mean,abs_std,abs_max,abs_min,abs_mad,abs_kurt,abs_skew,abs_median,abs_q01,abs_q05,abs_q95,abs_q99,mean_mean_{window},std_mean_{window},max_mean_{window},min_mean_{window},mad_mean_{window},kurt_mean_{window},skew_mean_{window},median_mean_{window},q01_mean_{window},q05_mean_{window},q95_mean_{window},q99_mean_{window}
0,4.8841133333333335,5.101106130606765,104.0,-98.0,3.2634013568,33.6613192214807,-0.024060926015873858,5.0,-8.0,-2.0,11.0,18.0,5.5765666666666664,4.333324673993449,104.0,0.0,2.8862489235555557,45.466673505127666,4.128996533016345,5.0,0.0,1.0,12.0,20.0,4.883418265649225,0.29571564292201374,5.629,3.896,0.23589821574793068,-0.011404511114935012,-0.3621002732547094,4.901,4.072,4.379,5.338,5.484
1,4.725766666666667,6.588823781946801,181.0,-154.0,3.574301851111111,98.7551852591557,0.39055659875594156,5.0,-11.0,-2.0,12.0,21.0,5.734166666666667,5.7327769655813805,181.0,0.0,3.128925288888889,141.5386295370581,8.451220806496954,5.0,0.0,1.0,12.0,24.0,4.724876383379978,0.23158747671200922,5.667,3.412,0.19092868808342067,-0.40135219060386573,-0.03706279224095605,4.731,4.233,4.345,5.066,5.223
2,4.906393333333333,6.967397033524431,140.0,-106.0,3.9484113621333328,33.554052910588105,0.21738838753403147,5.0,-15.0,-3.0,13.0,26.0,6.152646666666667,5.895944714483795,140.0,0.0,3.4577265432000006,47.16651277345388,5.001187929392427,5.0,0.0,1.0,14.0,30.0,4.905839578257863,0.2670126678044464,5.957,4.055,0.21193566058768568,0.025022175545270198,-0.15176574274034907,4.923,4.239,4.446,5.344,5.486
3,4.90224,6.922305187180113,197.0,-199.0,3.6471170687999996,116.54424678509804,0.7572699636146983,5.0,-12.0,-2.0,12.0,22.0,5.93396,6.061213600190591,199.0,0.0,3.223349855466666,167.59458523661723,9.015645115448976,5.0,0.0,1.0,13.0,26.0,4.901486292038308,0.2667007127403008,5.858,3.722,0.22009300693211306,-0.5051939355911923,-0.20512723836110636,4.925,4.304,4.433,5.317,5.453
4,4.90872,7.301110189758817,145.0,-126.0,3.826051623466666,52.97609892099391,0.06453042395888876,5.0,-15.0,-2.0,12.0,26.0,6.110586666666666,6.32948531386119,145.0,0.0,3.4168357258666666,70.68013496828223,6.326829802142274,5.0,0.0,1.0,13.0,32.0,4.910195703384541,0.22800551646583994,6.078,3.918,0.18093277249407072,0.19587866343730376,0.2333035906405784,4.913,4.434,4.543,5.306,5.491
5,4.913513333333333,5.434111112860393,142.0,-144.0,3.3783878008,50.2134329078255,-0.10069558805565243,5.0,-10.0,-2.0,12.0,19.0,5.695166666666666,4.608383471480033,144.0,0.0,2.9788468555555556,73.6462195828016,5.019352442874146,5.0,0.0,1.0,12.0,22.0,4.914757558674102,0.29394224689622217,5.838,4.042,0.2393228941899108,-0.29070525278535575,0.017696066645914627,4.917,4.27,4.422,5.402,5.62
6,4.85566,5.687823395051908,120.0,-78.0,3.5607987837333335,23.172191838595268,0.2088078296258563,5.0,-12.0,-2.0,12.0,21.0,5.791006666666667,4.732118384640393,120.0,0.0,3.0924211196444444,33.84379229102185,3.7338913219384176,5.0,0.0,1.0,13.0,24.0,4.856828665579426,0.21947264269753863,5.546,3.958,0.17563092510205341,0.13936759023220135,-0.12577432241921957,4.864,4.285,4.504,5.214,5.37
7,4.505426666666667,5.854511569720713,139.0,-134.0,3.3580427070222227,52.38695142902964,-0.17633122329343412,5.0,-11.0,-2.0,11.0,20.0,5.415,5.025125870324054,139.0,0.0,2.9611431333333336,71.69028969554347,5.853294206677238,5.0,0.0,1.0,12.0,24.0,4.504152522466292,0.2185147881558166,5.18,3.489,0.18056089827826458,-0.5916149535064013,-0.03427974631845384,4.503,4.04,4.148,4.863,4.953
8,4.717833333333333,7.789643113079984,168.0,-156.0,4.1496539044444445,65.35804233207574,-0.16016449191235266,5.0,-16.0,-3.0,13.0,26.0,6.1522733333333335,6.714604982530446,168.0,0.0,3.6063862758222216,92.5463177524468,7.109233423837418,5.0,0.0,1.0,14.0,31.0,4.718396608076455,0.24091733979464758,5.717,3.933,0.1905056356895662,0.07320384122882695,0.051240015910194135,4.724,4.158,4.315,5.104,5.337
9,4.73096,6.890459152667711,152.0,-126.0,3.8434566570666675,53.758375468566015,0.15077749245609898,5.0,-14.0,-3.0,12.0,23.0,5.92512,5.895191091682558,152.0,0.0,3.3404406186666677,77.0792196299591,6.277817113528996,5.0,0.0,1.0,13.0,28.0,4.731376621633411,0.2584631653961598,5.423,3.832,0.21635746877491768,-0.6989597872153364,-0.1273024408982479,4.746,4.19,4.301,5.128,5.261
10,4.582873333333334,6.157271968218513,245.0,-115.0,3.5134824597333334,117.46021487181571,1.5729691603355913,5.0,-11.0,-2.0,11.0,20.0,5.5501933333333335,5.301887842651288,245.0,0.0,3.0584009471999996,188.22564188113927,8.41524896100242,5.0,0.0,1.0,12.0,23.0,4.5832769712954935,0.27099262409377906,6.014,3.75,0.2190602329883118,-0.3609022515740876,-0.06064240959153105,4.593,3.974,4.129,5.025,5.176
11,4.329933333333333,15.25400019314174,410.0,-478.0,5.489323400888889,196.8150733359183,-0.6940933634153721,4.0,-25.00999999999999,-6.0,14.0,35.0,7.110306666666666,14.173079115483914,478.0,0.0,5.067792679644444,237.52113976065635,12.762797342865419,5.0,0.0,1.0,17.0,53.0,4.330214448225179,0.2640415651478836,6.487,1.291,0.20246415185497424,3.6621618457212843,-0.7126332096619243,4.349,3.56,3.894,4.712,4.846
12,4.46404,8.660501538997575,224.0,-169.0,4.384206995733333,67.31234117908514,-0.15741439876302332,4.0,-19.0,-4.0,13.0,28.0,6.183853333333333,7.529394125492095,224.0,0.0,3.8366926211555556,93.72469507653844,7.364006124601523,5.0,0.0,1.0,15.0,36.0,4.465508949604366,0.26472434743129347,5.446,3.358,0.20950345254671582,0.5251172302869289,-0.10562466749605702,4.448,3.693,4.077,4.902,5.071
13,4.680813333333333,6.033346435736719,139.0,-129.0,3.6665687985777784,42.45156046281544,0.18185498377727008,5.0,-12.0,-3.0,12.0,21.0,5.711546666666667,5.068475701575554,139.0,0.0,3.158992082133333,64.79070140170404,5.179681736341625,5.0,0.0,1.0,13.0,24.0,4.68163815007953,0.27747906813249135,5.554,3.713,0.22121289910602462,0.019901897488118436,0.3771692329814107,4.674,4.113,4.266,5.23,5.379
14,4.59672,5.402046506245854,98.0,-125.0,3.3245063008000004,41.25452517552056,-0.39781428416181985,5.0,-9.0,-2.0,11.0,19.0,5.40756,4.590226789707295,125.0,0.0,2.9099228352,55.43729262997374,4.868394512540857,5.0,0.0,1.0,12.0,21.0,4.594518640814493,0.21189720843556706,5.269,4.006,0.17465634566849847,-0.4331204942186382,0.07809422702047346,4.596,4.142,4.258,4.949,5.09
