,ave,std,max,min,mad,kurt,skew,median,q01,q05,q95,q99,abs_mean,abs_std,abs_max,abs_min,abs_mad,abs_kurt,abs_skew,abs_median,abs_q01,abs_q05,abs_q95,abs_q99
0,4.8841133333333335,5.101106130606765,104.0,-98.0,3.2634013568,33.6613192214807,-0.024060926015873858,5.0,-8.0,-2.0,11.0,18.0,5.5765666666666664,4.333324673993449,104.0,0.0,2.8862489235555557,45.466673505127666,4.128996533016345,5.0,0.0,1.0,12.0,20.0
1,4.725766666666667,6.588823781946801,181.0,-154.0,3.574301851111111,98.7551852591557,0.39055659875594156,5.0,-11.0,-2.0,12.0,21.0,5.734166666666667,5.7327769655813805,181.0,0.0,3.128925288888889,141.5386295370581,8.451220806496954,5.0,0.0,1.0,12.0,24.0
2,4.906393333333333,6.967397033524431,140.0,-106.0,3.9484113621333328,33.554052910588105,0.21738838753403147,5.0,-15.0,-3.0,13.0,26.0,6.152646666666667,5.895944714483795,140.0,0.0,3.4577265432000006,47.16651277345388,5.001187929392427,5.0,0.0,1.0,14.0,30.0
3,4.90224,6.922305187180113,197.0,-199.0,3.6471170687999996,116.54424678509804,0.7572699636146983,5.0,-12.0,-2.0,12.0,22.0,5.93396,6.061213600190591,199.0,0.0,3.223349855466666,167.59458523661723,9.015645115448976,5.0,0.0,1.0,13.0,26.0
4,4.90872,7.301110189758817,145.0,-126.0,3.826051623466666,52.97609892099391,0.06453042395888876,5.0,-15.0,-2.0,12.0,26.0,6.110586666666666,6.32948531386119,145.0,0.0,3.4168357258666666,70.68013496828223,6.326829802142274,5.0,0.0,1.0,13.0,32.0
5,4.913513333333333,5.434111112860393,142.0,-144.0,3.3783878008,50.2134329078255,-0.10069558805565243,5.0,-10.0,-2.0,12.0,19.0,5.695166666666666,4.608383471480033,144.0,0.0,2.9788468555555556,73.6462195828016,5.019352442874146,5.0,0.0,1.0,12.0,22.0
6,4.85566,5.687823395051908,120.0,-78.0,3.5607987837333335,23.172191838595268,0.2088078296258563,5.0,-12.0,-2.0,12.0,21.0,5.791006666666667,4.732118384640393,120.0,0.0,3.0924211196444444,33.84379229102185,3.7338913219384176,5.0,0.0,1.0,13.0,24.0
7,4.505426666666667,5.854511569720713,139.0,-134.0,3.3580427070222227,52.38695142902964,-0.17633122329343412,5.0,-11.0,-2.0,11.0,20.0,5.415,5.025125870324054,139.0,0.0,2.9611431333333336,71.69028969554347,5.853294206677238,5.0,0.0,1.0,12.0,24.0
8,4.717833333333333,7.789643113079984,168.0,-156.0,4.1496539044444445,65.35804233207574,-0.16016449191235266,5.0,-16.0,-3.0,13.0,26.0,6.1522733333333335,6.714604982530446,168.0,0.0,3.6063862758222216,92.5463177524468,7.109233423837418,5.0,0.0,1.0,14.0,31.0
9,4.73096,6.890459152667711,152.0,-126.0,3.8434566570666675,53.758375468566015,0.15077749245609898,5.0,-14.0,-3.0,12.0,23.0,5.92512,5.895191091682558,152.0,0.0,3.3404406186666677,77.0792196299591,6.277817113528996,5.0,0.0,1.0,13.0,28.0
