,mad,q01,q99,abs_mad,abs_q95,mad_mean_10,q01_mean_10,q05_mean_10,q95_mean_10,q99_mean_10
0,3.2634013568,-8.0,18.0,2.8862489235555557,12.0,1.6040939518994897,-2.4,1.7,8.1,12.4
1,3.574301851111111,-11.0,21.0,3.128925288888889,12.0,1.7955369439426738,-4.6,1.2,8.2,13.8
2,3.9484113621333328,-15.0,26.0,3.4577265432000006,14.0,2.080284542131587,-7.309999999999991,0.8,9.1,17.0
3,3.6471170687999996,-12.0,22.0,3.223349855466666,13.0,1.9015213620201874,-5.1,1.3,8.5,14.8
4,3.826051623466666,-15.0,26.0,3.4168357258666666,13.0,2.1139655998883775,-9.0,1.1,8.8,19.01000000000058
5,3.3783878008,-10.0,19.0,2.9788468555555556,12.0,1.682767926688794,-3.4,1.5,8.3,13.1
6,3.5607987837333335,-12.0,21.0,3.0924211196444444,13.0,1.7662182323006017,-4.5,1.2,8.5,14.2
7,3.3580427070222227,-11.0,20.0,2.9611431333333336,12.0,1.6574146424837386,-4.5,1.4,7.6,13.5
8,4.1496539044444445,-16.0,26.0,3.6063862758222216,14.0,2.1770485696087554,-7.4,0.3,9.1,17.2
9,3.8434566570666675,-14.0,23.0,3.3404406186666677,13.0,2.0040605197544195,-6.5,0.8,8.7,15.810000000000583
10,3.5134824597333334,-11.0,20.0,3.0584009471999996,12.0,1.799321530106055,-4.6,1.1,8.0,14.0
11,5.489323400888889,-25.00999999999999,35.0,5.067792679644444,17.0,3.2568591686822157,-15.9,-1.55,10.0,25.1
12,4.384206995733333,-19.0,28.0,3.8366926211555556,15.0,2.4419469896477484,-10.6,-0.3,9.3,19.8
13,3.6665687985777784,-12.0,21.0,3.158992082133333,13.0,1.9087009311515255,-5.6,0.8,8.5,15.1
14,3.3245063008000004,-9.0,19.0,2.9099228352,12.0,1.635170885241836,-3.4,1.3,7.9,12.7
15,3.7710158455999996,-13.0,22.0,3.2458164117333337,13.0,1.941072702963161,-5.8,0.7,8.5,15.0
16,3.6548384345777776,-13.0,22.0,3.190936992533333,12.0,1.9149734049724703,-6.3,0.9,8.1,15.4
17,3.6170036448,-12.0,21.0,3.1242958666666665,12.0,1.8648473797632317,-5.8,0.7,8.3,14.7
18,3.947406458666667,-16.0,24.0,3.3884993514666664,14.0,2.0396862667335816,-7.7,0.4,8.5,16.310000000000585
19,3.9645082733333337,-17.0,26.0,3.4599059949333335,14.0,2.1496022420149177,-9.1,0.3,8.7,18.110000000000586
20,4.272707152533333,-17.0,26.0,3.6411357066666667,15.0,2.2766254569389806,-8.6,-0.3,9.2,17.51000000000058
21,4.207110924444446,-17.0,26.0,3.6752692127999995,14.0,2.3494915167460624,-9.70999999999999,0.2,9.1,19.2
22,4.878720576000001,-21.0,30.0,4.485282022399999,15.0,2.9339385405249065,-13.7,-0.3,9.2,22.6
23,3.5897172502222223,-12.0,21.0,3.0829500165333337,13.0,1.8001144800305244,-5.0,0.8,8.2,14.1
24,3.466238381866666,-10.0,19.0,2.9580144533333343,12.0,1.744068985350705,-4.2,0.8,8.0,12.9
25,3.8393571496888894,-14.0,23.0,3.3075979930666666,13.0,1.9925647364884789,-6.8,0.5,8.5,15.7
26,3.662264712355556,-13.0,23.0,3.2118980384888887,13.0,1.9135783385739693,-6.1,1.0,8.4,15.5
27,3.537184211911111,-12.0,20.0,3.0436776128000003,12.0,1.7533610081644357,-4.9,0.9,7.9,13.4
28,3.7291960453333335,-12.0,21.0,3.2286015388444445,13.0,1.9285200666208777,-4.9,0.8,8.4,14.2
29,24.97314188444444,-186.0,207.0,34.660333818666665,65.0,18.30633329876861,-143.11999999999998,-15.2,24.4,163.9100000000006
